Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
bay,ei,70,363.5,2082.8,2627.8,3368.3,20,L1English
bay,ei,80,358.9,2074.3,2635.5,3359.1,20,L1English
bay,ei,90,333.3,2039.6,2587,3379.2,20,L1English
die,ai,10,773.8,1840.8,2938.3,4294.2,12,L1English
die,ai,20,1013.9,1625.4,2532.6,3942.1,12,L1English
die,ai,30,954.6,1563,2591.3,3895.9,12,L1English
die,ai,40,905.4,1498.6,2596.5,4021.1,12,L1English
die,ai,50,893.9,1546.4,2627.6,4147.2,12,L1English
die,ai,60,907.5,1728.1,2720.2,4076.3,12,L1English
die,ai,70,863.2,1852.3,2645.5,2746.5,12,L1English
die,ai,80,731.2,2092.5,2666.2,3610.5,12,L1English
die,ai,90,565.2,2400.7,2477.1,3448.9,12,L1English
die,ai,10,695.1,1468.6,2418.4,3924.7,13,L1English
die,ai,20,800.7,1361.9,2269.9,3403.7,13,L1English
die,ai,30,811.3,1339.7,2415.6,3521,13,L1English
die,ai,40,805.9,1342.7,2347.6,3529.7,13,L1English
die,ai,50,822.8,1392.6,2345.9,3619.3,13,L1English
die,ai,60,785.9,1507.4,2291.4,3664.7,13,L1English
die,ai,70,685.9,1727.3,2402.4,2598.9,13,L1English
die,ai,80,567.2,1990.2,2589.2,3366.4,13,L1English
die,ai,90,452.4,2200.9,2689.4,3534.2,13,L1English
die,ai,10,622.8,1768.4,2623.3,3761.2,15,L1English
die,ai,20,710.7,1488.9,2458.2,3618.2,15,L1English
die,ai,30,720.4,1432.1,2457.7,3605,15,L1English
die,ai,40,720.7,1436.7,2469.7,3607.6,15,L1English
die,ai,50,693.7,1582.7,2483.2,3566.1,15,L1English
die,ai,60,572.6,1737.2,2482,3479.2,15,L1English
die,ai,70,529.3,2010.6,2595.7,3878.5,15,L1English
die,ai,80,458.8,2301.1,2676.8,4056.6,15,L1English
die,ai,90,377,2502.9,2768.6,4081.5,15,L1English
die,ai,10,610,1621.6,2575.7,2984.7,19,L1English
die,ai,20,662,1460.6,2635.8,2995.6,19,L1English
die,ai,30,677.4,1400,2728,2997.9,19,L1English
die,ai,40,671.9,1377.6,2632.2,2996.3,19,L1English
die,ai,50,662.4,1437.9,2300.6,2955.3,19,L1English
die,ai,60,651.4,1497.6,2912,3230.2,19,L1English
die,ai,70,615.8,1627.2,2985.7,3071.7,19,L1English
die,ai,80,518.9,1827.6,2961.9,3376.1,19,L1English
die,ai,90,410.2,2134.4,2502.9,3192.3,19,L1English
die,ai,10,670,1382.2,2429.6,3343.4,20,L1English
die,ai,20,745.4,1214.3,2541.2,3533.8,20,L1English
die,ai,30,746.5,1214.4,2580.7,3478.5,20,L1English
die,ai,40,764.6,1241.2,2548.1,3406.3,20,L1English
die,ai,50,774.2,1341.1,2426.8,3414.7,20,L1English
die,ai,60,702.7,1517.3,2369.4,3412.3,20,L1English
die,ai,70,598.2,1820.2,2442.6,3438.2,20,L1English
